route,check,severity,detail
/leaderboard,C1,3,"131 words of main content (<150)"
/about,C2,3,"first-200-chars identical across 1341 pages: e.g. /about, /age-calculator, /answers/how-does-stress-affect-life-expectancy, /answers/how-long-will-i-live"
/,T2,3,"title 103 chars (>65): ""Best Age Calculator, Celebrity Birthday Match & Life Expectancy | BornClock - Age & Birthday Calculator"""
/birthday/3/28,T2,3,"title 67 chars (>65): ""March 28 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/3/29,T2,3,"title 67 chars (>65): ""March 29 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/3/3,T2,3,"title 66 chars (>65): ""March 3 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/3/30,T2,3,"title 67 chars (>65): ""March 30 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/3/31,T2,3,"title 67 chars (>65): ""March 31 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/3/4,T2,3,"title 66 chars (>65): ""March 4 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/3/5,T2,3,"title 66 chars (>65): ""March 5 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/3/6,T2,3,"title 66 chars (>65): ""March 6 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/3/7,T2,3,"title 66 chars (>65): ""March 7 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/3/8,T2,3,"title 66 chars (>65): ""March 8 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/3/9,T2,3,"title 66 chars (>65): ""March 9 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/4/1,T2,3,"title 66 chars (>65): ""April 1 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/4/10,T2,3,"title 67 chars (>65): ""April 10 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/4/11,T2,3,"title 67 chars (>65): ""April 11 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/4/12,T2,3,"title 67 chars (>65): ""April 12 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/4/13,T2,3,"title 67 chars (>65): ""April 13 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/4/14,T2,3,"title 67 chars (>65): ""April 14 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/4/15,T2,3,"title 67 chars (>65): ""April 15 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/4/16,T2,3,"title 67 chars (>65): ""April 16 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/4/17,T2,3,"title 67 chars (>65): ""April 17 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/4/18,T2,3,"title 67 chars (>65): ""April 18 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/4/19,T2,3,"title 67 chars (>65): ""April 19 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/4/2,T2,3,"title 66 chars (>65): ""April 2 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/4/20,T2,3,"title 67 chars (>65): ""April 20 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/4/21,T2,3,"title 67 chars (>65): ""April 21 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/4/22,T2,3,"title 67 chars (>65): ""April 22 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/4/23,T2,3,"title 67 chars (>65): ""April 23 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/4/24,T2,3,"title 67 chars (>65): ""April 24 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/4/25,T2,3,"title 67 chars (>65): ""April 25 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/4/26,T2,3,"title 67 chars (>65): ""April 26 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/4/27,T2,3,"title 67 chars (>65): ""April 27 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/4/28,T2,3,"title 67 chars (>65): ""April 28 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/4/29,T2,3,"title 67 chars (>65): ""April 29 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/4/3,T2,3,"title 66 chars (>65): ""April 3 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/4/30,T2,3,"title 67 chars (>65): ""April 30 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/4/4,T2,3,"title 66 chars (>65): ""April 4 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/4/5,T2,3,"title 66 chars (>65): ""April 5 Birthday — Personality, Zodiac & Famous People | BornClock"""
